from,to,routes
14279,9276,132
14281,9276,129
14287,9276,131
14294,3237,127
14300,8870,126
14318,857,117
14326,2025,115|122
14360,9079,117
14361,7719,117
14361,14182,117
14362,8935,117
14362,14363,117
14363,14365,117
14363,14366,117
14364,5165,117
14365,6657,117
14366,8667,117
14377,895,119|118
14615,6988,116
14616,14615,116
14679,3965,113
14687,8218,118
14692,1501,119
14693,1011,130
14695,14732,116
14732,14090,116
14739,2541,130
14809,5421,131
14810,2305,118
14813,6934,112
14842,6752,113
14939,9239,116
14955,3457,119|118
14971,6275,116
14980,7563,119
15009,9237,129
15010,8297,129
15075,6493,121
15106,576,116
15211,5465,116
15260,2527,123
15267,4609,129
15269,7676,125
15289,895,120
15318,15319,121
15319,15320,121
15320,15321,121
15321,15322,121
15322,15323,121
15323,15324,121
15324,15325,121
15325,15326,121
15326,15327,121
15327,10415,121
15328,15329,121
15329,15330,121
15330,15331,121
15331,15332,121
15332,15333,121
15333,15334,121
15334,15335,121
15335,641,121
15336,7461,121
15338,15075,121
15392,2318,130
15393,2891,130
15467,15318,121
15468,15467,121
15474,4224,129
15475,1084,112
15477,15663,129
15478,6187,129
15663,15009,129
15664,4816,129
15681,10409,112
