tag,title,lat,lon
2965,Dundas St West At Wilmar Rd,43.6349299,-79.54129
2978,Wilson Ave At William Cragg Dr,43.72266,-79.5002899
2985,Davenport Rd At Primrose Ave,43.6718499,-79.44615
2996,65 Skyway Ave,43.6866,-79.58568
2998,Calvington Dr At Dalsby Rd,43.7294099,-79.50182
3011,Dundas St West At Highway 427,43.6288299,-79.55511
3036,Martin Grove Rd At Sedgeley Dr,43.6792699,-79.5651599
3042,Eglinton Ave East At McCowan Rd,43.73898,-79.2381899
3045,Murison Blvd At Split Maple Crt South Side,43.7996799,-79.2031399
3052,York Mills Rd At Chipstead Rd,43.75134,-79.3705499
3074,Christie St At Essex St South Side,43.6681399,-79.4202499
3082,Gilley Rd At Garratt Blvd,43.7347499,-79.4697999
3083,Eglinton Ave East At Oswego Rd,43.7374499,-79.24401
3084,McCowan Rd At Wilfred Murison Ave,43.8901199,-79.2899099
3086,Milner At Cinemart Dr,43.7978899,-79.20418
3090,Thistle Down Blvd At Barkwin Dr West Side,43.7370999,-79.55946
3096,Davenport Rd At Oakwood Ave,43.6744899,-79.43335
3106,The West Mall At Bloor St West,43.6352299,-79.5618699
3123,Spadina Rd At Kendal Ave,43.6702399,-79.4051699
3150,Danforth Rd At McDonald Ave West Side,43.69578,-79.2758299
3154,Albion Rd At Arcot Blvd North Side,43.72702,-79.55211
3171,Browns Line At Woodbury Rd North Side,43.5993599,-79.5440199
3219,Dundas St West At The West Mall Cres East Side,43.62745,-79.56086
3225,Dundas St West At Shaver Ave South,43.6323199,-79.54459
3237,Spadina Rd At Lowther Ave,43.6688599,-79.4046399
3247,St Clair Ave West At Wychwood Ave,43.68236,-79.4230499
3272,Wilson Ave At Walsh Ave,43.7159899,-79.53113
3276,Supertest Rd At Alness St,43.7766599,-79.47486
3345,Morningside Ave At Tams Rd,43.79198,-79.19537
3373,Wilson Ave At Northgate Dr,43.7302099,-79.4682
3393,Wilson Ave At Ridge Rd West Side,43.72392,-79.4945799
3407,Martin Ross Ave At Brisbane Rd (West),43.77344,-79.4768799
3411,Davenport Rd At Lightbourn Ave,43.6722799,-79.44393
3413,Opposite 115 Shorncliffe Rd,43.62451,-79.54159
3417,McCowan Rd At Bridley Dr,43.81455,-79.27055
3453,McCowan Rd At Trail Ridge Lane,43.88762,-79.28957
3457,Wilson Ave At Keele St,43.72645,-79.4823499
3476,McCowan Rd At Nugget Ave,43.7918999,-79.25963
3490,Eglinton Ave East At Markham Rd,43.7429899,-79.21919
3502,Alness St At Steeles Ave West South Side,43.7842199,-79.48087
3506,Shorncliffe Ave At Lockport Ave South Side,43.6275999,-79.5429099
3509,McCowan Rd At Bur Oak Ave,43.89506,-79.29141
3551,Canmore Rd At Calverley Trail (West) East Side,43.79328,-79.1818399
3558,Kennedy Rd At Merrian Rd South Side,43.7271599,-79.2659599
3570,Opposite 44 Milner Ave,43.7849899,-79.2536899
3583,Maniza Rd At Regent Rd,43.73223,-79.46309
3590,Underpass Gate At Roywood Dr West Side,43.7625099,-79.33573
3602,115 Shorncliffe Rd,43.6244799,-79.5413899
3612,Kennedy Rd At Corvette Ave,43.7251999,-79.2648499
3619,Middlefield Rd At Pebblewood Ave,43.8230399,-79.26301
3623,Old Finch Ave At Bingley Rd,43.8216899,-79.20378
3629,Calvington Dr At Forthbridge Cres,43.72805,-79.5036999
3640,Alness St At Magnetic Dr North Side,43.7826999,-79.4795499
3643,Keele St At Tilbury Dr,43.7304699,-79.4830699
3645,The East Mall At Valhalla Inn Rd,43.6415799,-79.5578299
3653,Danforth Ave At Dawes Rd,43.6891599,-79.29705
3670,Steeles Ave West At Futurity Gate,43.78635,-79.4745299
3679,Eglinton Ave East At Bellamy Rd South,43.7411699,-79.22741
3686,Dundas St West At Acorn Ave,43.6375099,-79.53898
3709,Attwell Dr At Carlson Crt,43.6891899,-79.58719
3718,Davenport Rd At Salem Ave,43.67407,-79.4367999
3722,Dundas St West At Highway 427,43.6292299,-79.55477
3737,Arcot Blvd At Albion Rd,43.72704,-79.5516499
3742,The West Mall At Eva Rd,43.6394299,-79.5649399
3791,100 Lesmill Rd,43.7589299,-79.3571999
3803,Dufferin St At Martin Ross Ave,43.77531,-79.46856
3812,The West Mall Cres At Dundas St West South Side,43.6268799,-79.5621
3821,Morningview Trail At Sewells Rd,43.81977,-79.20074
3824,Middlefield Rd At Arbor Low Gate,43.8119899,-79.2586699
3837,Tandridge Cres At Byng Ave,43.7274099,-79.54903
3845,Maybrook Dr At McNicoll Ave,43.8216899,-79.2593799
3850,Dufferin St At Steeles Ave West South Side,43.7867399,-79.47022
3853,The West Mall Cres At The West Mall,43.62711,-79.55966
3854,Dundas St West At Aukland Rd,43.6382299,-79.53802
3857,Middlefield Rd At Select Ave,43.8295899,-79.2665399
3865,McCowan Rd At 16th Ave,43.88503,-79.2887
3894,Christie St At St Clair Ave West South Side,43.6813,-79.42565
3900,Littles Rd At Sewells Rd North Side,43.8191899,-79.2053099
3904,Opposite 366 The East Mall,43.64355,-79.55838
3907,Maniza Rd At Home Rd,43.73649,-79.4649
3913,Wilson Ave At Dubray Ave,43.7283,-79.4775099
3918,North Queen St At Eastside Dr East Side,43.61983,-79.5519999
3944,Sewells Rd At Alford Cres,43.8091299,-79.21395
3947,Milner Ave At Neilson Rd East Side,43.7955499,-79.21597
3960,Danforth Ave At Victoria Park Ave,43.69139,-79.2880099
3965,Danforth Rd At Cotton Ave East Side,43.71251,-79.26211
3992,Brenyon Way At Foregate Ave,43.80167,-79.20729
4020,Shorncliffe Rd At North Queen St North Side,43.6230299,-79.54077
4040,Belfield Rd At Attwell Dr East Side,43.69794,-79.5923699
4067,Kennedy Rd At Foxridge Dr,43.72417,-79.26468
4101,Davean Dr At Bannatyne Dr,43.76044,-79.3685899
4104,Browns Line At Horner Ave,43.6015299,-79.5450199
4108,Ancaster Rd At Home Rd South Side,43.7356899,-79.4675599
4115,York Mills Rd At Sandfield Rd,43.75039,-79.3750999
4118,Davenport Rd At Greenlaw Ave,43.67215,-79.4450899
4123,North Queen St At Atomic Ave,43.6218499,-79.54302
4152,Albion Rd At Shendale Dr,43.72253,-79.54729
4156,The East Mall At Bloor St West,43.6371799,-79.5569799
4181,Antibes Dr (South) At Candle Liteway (East),43.77965,-79.4491299
4190,Wellesworth Dr At Eringate Dr,43.66064,-79.5806099
4192,Underpass Gate At Fenelon Dr,43.76203,-79.3377199
4194,Eglinton Ave East At Gilder Dr,43.73577,-79.2529699
4198,York Mills Rd At Scarsdale Rd,43.7533099,-79.35765
4209,McCowan Rd At Bur Oak Ave,43.8945199,-79.2909499
4220,Chesham Dr At Heathrow Dr,43.7269899,-79.50489
4224,McCowan Rd At Wilfred Murison Ave,43.89077,-79.29038
4238,Leslie St At Farmstead Rd,43.7549299,-79.3605499
4239,Fenelon Dr At Graydon Hall Dr,43.7634299,-79.3389599
4240,Littles Rd At Grayson Cres (North) South Side,43.8158999,-79.2030999
