type,lat,lon,name
shopping,34.107787,-117.7356123,Stater Brothers Shopping Center
shopping,34.3808311,-118.5431415,Old Orchard Shopping Center
shopping,34.4205518,-118.5611975,River Oaks Shopping Center
shopping,34.4158296,-118.4553609,Sierra Plaza Shopping Center
shopping,34.4152741,-118.467028,The Knoll Shopping Center
shopping,34.4152742,-118.5570307,Valencia Mall Shopping Center
shopping,34.4216628,-118.5431413,Valencia Mart Shopping Center
shopping,34.4341623,-118.5303631,Bouquet Canyon Square Shopping Center
shopping,34.4172184,-118.4736949,Canyon Center Shopping Center
shopping,34.4972152,-118.62231,Castaic Shopping Center
shopping,34.4038858,-118.5509194,Granary Square Shopping Center
shopping,34.4277737,-118.5348078,Bouquet Center Shopping Center
shopping,33.8280715,-118.3497956,Del Amo Fashion Center
shopping,33.7919612,-118.3311836,Rolling Hills Plaza Shopping Center
shopping,33.8711261,-118.3550742,South Bay Shopping Center
shopping,33.799738,-118.3889626,Malaga Cove Plaza Shopping Center
shopping,33.9861235,-118.3931325,Fox Hills Mall Shopping Center
shopping,33.983068,-118.3928546,Fox Hills Plaza Shopping Center
shopping,34.0397322,-118.4378568,Lamancha Shopping Center
shopping,33.9786239,-118.3725763,Ladera Shopping Center
shopping,34.0208452,-118.3561877,Baldwin Hills Shopping Center
shopping,34.0927867,-118.3795227,Sunset Plaza Shopping Center
shopping,34.0188993,-118.4564681,Ocean Park Plaza Shopping Center
shopping,34.0750095,-118.3773002,Beverly Center Shopping Center
shopping,34.0494538,-118.4617465,Brentwood Place Shopping Center
shopping,34.0588985,-118.4189678,Century City Center Shopping Center
shopping,34.0136211,-118.493969,Santa Monica Place Shopping Center
shopping,34.0305653,-118.4850802,Wilshire West Shopping Center
shopping,34.0022342,-118.3934105,Raintree Plaza Shopping Center
shopping,34.0438996,-118.3786886,Ward Plaza Shopping Center
shopping,34.2819461,-118.4536947,La Rinda Shopping Center
shopping,34.2730577,-118.5003631,Balboa-Mission Square Shopping Center
shopping,34.2577806,-118.5370308,Devonshire-Reseda Shopping Center
shopping,34.2663914,-118.525086,Granada Village Shopping Center
shopping,34.2566695,-118.5003631,North Hills Shopping Center
shopping,34.2494478,-118.6050882,Topango Festival Shopping Center
shopping,34.2605581,-118.325912,Sunland Shopping Center
shopping,34.3102783,-118.429527,Sylmar Shopping Center
shopping,34.3086117,-118.4339717,Sylmar Square Shopping Center
shopping,34.300001,-118.4420275,Sylmar Towne Shopping Center
shopping,33.9322366,-118.3253522,Crenshaw Imperial Shopping Center
shopping,33.9208475,-118.3514638,Hawthorne Plaza Shopping Center
shopping,33.8922362,-118.3956309,Sepulveda Shopping Center
shopping,34.0211187,-118.8098118,Point Dume Plaza Shopping Center
shopping,34.2352813,-118.5020296,Balboa Nordhoff Shopping Center
shopping,33.9014029,-118.3859086,Manhattan Marketplace Shopping Center
shopping,33.898625,-118.3953532,Manhattan Village Shopping Center
shopping,33.8575151,-118.3634074,North Torrance Shopping Center
shopping,33.8133492,-118.3672957,Pacific Plaza Shopping Center
shopping,33.8383489,-118.3553514,Plaza Del Amo Shopping Center
shopping,33.7708499,-118.3709062,The Shops At Palos Verdes Shopping Center
shopping,33.853071,-118.352296,Torrance Promenade Shopping Center
shopping,33.7486276,-118.4059065,Golden Cove Shopping Center
shopping,33.8652923,-118.3942415,Hermosa Beach Pavilion Shopping Center
shopping,33.9872347,-117.8717275,Canyon Point Marketplace Shopping Center
shopping,33.9966667,-117.8891667,Rowland Heights Plaza Shopping Center
shopping,34.0888,-117.7377,The Valley Center Shopping Center
shopping,34.0616774,-117.7225562,Indian Hill Marketplace Shopping Center
shopping,33.9911234,-117.9225627,Puente Hills East Shopping Center
shopping,34.6888743,-118.1120165,East Lancaster Plaza Shopping Center
shopping,34.6744303,-118.1497954,Lancaster Commerce Center Shopping Center
shopping,34.4908266,-118.1625741,Santiago Square Shopping Center
shopping,34.6610974,-118.1825742,West Lancaster Plaza Shopping Center
shopping,34.6774857,-118.1578511,Antelope Valley Center Shopping Center
shopping,34.6883185,-118.1667402,Antelope Valley Plaza Shopping Center
shopping,34.6044444,-118.1513889,Antelope Valley Mal Shopping Center
shopping,34.37904848,-118.5430491,Lyons Station Shopping Center
shopping,34.2708355,-118.5003631,Balboa-Mission Shopping Center
shopping,33.94977699,-118.3443403,Holly Park Plaza Shopping Center
shopping,34.16987866,-118.5394818,Brown Center Shopping Center
shopping,34.16181816,-118.5137111,Encino Junior Shopping Center
shopping,34.16102805,-118.5080516,Plaza De Oro Shopping Center
shopping,34.18750611,-118.3975017,Valley Plaza Shopping Center
shopping,34.15687762,-118.7576687,Twin Oaks Agoura Shopping Center
shopping,33.89706459,-118.0074012,La Mirada Towne Center Shopping Center
shopping,33.79196106,-118.2664222,Wilmington Plaza Shopping Center
shopping,33.88672482,-118.0844986,Alondra Square Shopping Center
shopping,33.86264729,-118.0939722,Los Cerritos Center Shopping Center
shopping,33.8756712,-118.1522834,Bellflower Towne Center Shopping Center
shopping,34.05088603,-118.2489878,Grand Central Market
shopping,34.0638998,-118.2972977,Chapman Plaza Shopping Center
shopping,34.15011664,-118.0020583,Foothill Park Plaza Shopping Center
shopping,34.09475658,-118.1258261,Alhambra Place Shopping Center
shopping,34.13843125,-118.2151222,Eagle Rock Town Square Shopping Center
shopping,34.06322789,-118.089788,Beaches Shopping Center
shopping,34.14480691,-118.2584882,Glendale Galleria Shopping Center
shopping,34.1397222,-118.0219444,Arcadia Gateway Centre Shopping Center
shopping,34.06133473,-118.2393211,Far East Plaza Shopping Center
shopping,34.04889481,-118.2398629,Japanese Village Plaza Mall Shopping Center
shopping,34.0483333,-118.2586111,Macy's Plaza Shopping Center
shopping,34.13312967,-117.8992117,Azusa Square Shopping Center
shopping,34.05182384,-117.9444337,Hacienda Plaza Shopping Center
shopping,34.06796505,-117.931999,West Covina Parkway Plaza Shopping Center
shopping,34.0707379,-117.9328895,Westfield West Covina Shopping Center
shopping,34.0294555,-117.9142293,Woodside Village Shopping Center
shopping,33.9935575,-117.9274607,Puente Hills Mall Shopping Center
shopping,34.10496446,-117.8164816,San Dimas Station Shopping Center
shopping,34.11589058,-117.8328967,Glendora Marketplace Shopping Center
shopping,34.04752137,-118.4904671,Brentwood Country Mart Shopping Center
shopping,34.06993805,-117.8893518,Country Club Shopping Center
shopping,34.69402653,-118.172915,Valley Central Shopping Center
shopping,34.27730799,-118.5656333,Porter Ranch Town Center Shopping Center
shopping,34.07186657,-118.3602941,Farmers Market Shopping Center
shopping,33.83065811,-118.0868483,Long Beach Towne Center Shopping Center
shopping,34.38452937,-118.5696459,Valencia Marketplace Shopping Center
shopping,34.01047909,-118.3364439,Baldwin Hills Crenshaw Plaza Shopping Center
shopping,33.90643252,-118.3936286,Plaza El Segundo Shopping Center
shopping,34.10208612,-118.3390242,Hollywood & Highland
shopping,34.15863103,-118.6345017,El Camino Shopping Center
shopping,34.02851321,-118.2608217,Eagle's Nest Shopping Center
shopping,33.87139544,-118.0591786,Cerritos Towne Center Shopping Center
shopping,33.7327966,-118.2775709,Ports O' Call Village Shopping Center
shopping,34.07239091,-118.358109,The Grove Shopping Center
shopping,34.15359708,-118.6444473,Commons at Calabasas Shopping Center
shopping,34.14113075,-118.2251,Eagle Rock Plaza Shopping Center
shopping,33.85045895,-118.1409431,Lakewood Center Shopping Center
shopping,33.86733327,-118.0954742,Cerritos Best Plaza Shopping Center
shopping,33.93933681,-118.0483747,Gateway Plaza Center Shopping Center
shopping,34.14369254,-118.2568359,Americana at Brand Shopping Center
shopping,34.01711339,-118.4069109,Culver Center Shopping Center
shopping,34.18330816,-118.3120841,Burbank Town Center Shopping Center
shopping,34.00656586,-118.1533241,The Citadel Outlets Shopping Center
shopping,33.77392142,-118.3760548,The Avenue Of The Peninsula Shopping Center
shopping,34.13802276,-118.1327677,The Shops On Lake Avenue 
shopping,33.79437735,-118.1232619,South Los Altos Market Center Shopping Center
shopping,33.79794371,-118.1226611,North Los Altos Market Center Shopping Center
shopping,33.773364,-118.190185,City Place Long Beach 
shopping,33.98403012,-118.0945569,Pico Rivera Towne Center Shopping Center
shopping,34.4043249,-118.4611452,Sierra Canyon Plaza Shopping Center
shopping,33.94282591,-117.9963398,Whittwood Town Center Shopping Center
shopping,34.18908583,-118.330307,Burbank Empire Shopping Center
shopping,34.22326448,-118.4469616,Panorama Plaza Shopping Center
shopping,34.59744777,-118.1450629,The Marketplace Shopping Center
shopping,33.92697249,-118.1298173,Downey Landing Shopping Center
shopping,34.00899386,-117.8859669,Bestway Supermarket Shopping Center
shopping,33.89898813,-118.3936501,Manhattan Village Mall
shopping,33.7602951,-118.1161761,Marina Pacifica
shopping,33.97891016,-118.4379387,Waterside Marina del Rey Shopping Center
shopping,33.97220169,-118.4463072,Fisherman's Village
shopping,33.97033319,-118.4495795,Del Rey Landing Fuel Dock
shopping,33.98327393,-118.4594017,Marina Beach Shopping Center
shopping,34.01081704,-118.4958959,Santa Monica Beach and Pier
shopping,33.34379859,-118.3248675,Green Pleasure Pier
shopping,33.83916894,-118.3906728,Redondo Beach and Pier
shopping,33.97066686,-118.4462214,Los Angeles County Department Of Beaches And Harbors
shopping,33.97948845,-118.4401918,Marina Del Rey Visitors Information Center
shopping,33.97902581,-118.466928,"Venice Beach, Pier, Ocean Front Walk (Restaurants and Shopping)"
