zipcode,lat,lon,population,land,density
1338,42.573832,-72.769487,187,8.945818932,20.90362005
1339,42.594252,-72.665507,1438,142.3923663,10.09885598
1340,42.681539,-72.822986,1701,114.4308547,14.86487193
1341,42.590824,-72.70976,1833,92.42631569,19.83201414
1342,42.54723,-72.607679,1492,46.18984795,32.30147026
1343,42.642666,-72.986231,75,12.61583208,5.944911085
1344,42.627072,-72.553654,1498,35.31189789,42.42196227
1346,42.618011,-72.788896,533,54.37939036,9.801507455
1347,42.556558,-72.518104,166,1.494423139,111.0796505
1349,42.621412,-72.705633,1091,19.90405863,54.81294145
1350,42.721456,-72.976204,121,27.76726253,4.357649584
1351,42.548107,-72.48693,2270,54.19809119,41.88339386
1354,42.522178,-72.624164,1500,35.64859635,42.07739305
1355,42.518718,-72.534371,878,122.7136367,7.154869043
1360,42.614152,-72.528209,3032,88.79774235,34.14501225
1364,42.578325,-72.556589,7969,101.6078235,78.42900007
1366,42.459632,-72.182962,1277,104.6484696,12.20275848
1367,42.683065,-72.715667,522,68.72792449,7.595166068
1368,42.672182,-72.196376,1261,108.3702825,11.63603131
1370,42.588812,-72.758781,4084,129.0306177,31.65140239
1373,42.464522,-72.682346,4600,62.57670273,73.50978559
1375,42.565346,-72.70094,3684,36.85553081,99.95786031
1376,42.654878,-72.718123,5247,7.150957172,733.7479269
1378,42.667059,-72.339655,774,88.11398549,8.784076622
1379,42.581007,-72.437179,813,78.24095081,10.39097802
1420,42.583689,-71.816767,40337,78.52066953,513.7118703
1430,42.654906,-71.920942,6089,95.77517032,63.57597673
1431,42.446396,-71.459405,3074,61.38789818,50.07501627
1432,42.446396,-71.459405,7089,21.8698596,324.1447421
1434,#N/A,#N/A,1795,13.67772721,131.2352537
1436,42.601427,-72.083838,3336,24.85093592,134.240417
1438,42.551681,-72.029434,559,1.403773556,398.2123739
1440,42.582529,-72.025884,20347,62.26849414,326.7623584
1450,42.446396,-71.459405,10646,84.83765053,125.4867377
1451,42.500187,-71.575864,4747,49.55165252,95.79902503
1452,42.483895,-72.011516,4382,106.3734017,41.19450851
1453,42.471316,-71.837509,40883,73.73696149,554.4437847
1460,42.446396,-71.459405,8924,42.79437354,208.5320864
1462,42.583322,-71.752266,10086,68.51554546,147.2074685
1463,42.446396,-71.459405,11497,58.53373129,196.4166601
1464,42.446396,-71.459405,7211,38.88608148,185.4391012
1467,42.487056,-71.613078,316,4.908027468,64.38431774
