tag,title,lat,lon,merged
1022,Leslie St At McNicoll Ave,43.801273662499995,-79.37058619999999,6544|8090|1022|7199
10221,Bloor St West At Havelock St,43.66049995,-79.43236495,10221|9709
10222,Steeles Ave West At Hilda Ave,43.79573995,-79.42923495,10222|8718|8718_ar
10223,Greenwin Village Rd At Regatta Cres,43.7912,-79.4428699,10223
10224,Bellamy Rd North At Cedar Brae Blvd,43.751899949999995,-79.23332995,10224|7486
10225,Port Union Rd At Lawrence Ave East,43.78011995,-79.13685495,10225|6640
10226,Cosburn Ave At Roosevelt Rd West Side,43.6934099,-79.33163,10226
10228,Portland St At Wesley St West Side,43.61974,-79.4968799,10228
1023,Islington Ave At Fletcher Place,43.6914299,-79.5442399,1023
10230,Huntingwood Dr At Kenmanor Blvd West Side,43.78503495,-79.31289995,10230|4954
10231,Keele St At Broadoaks Dr,43.757449949999994,-79.48946995,10231|764
10232,Avenue Rd At Eglinton Ave West North Side,43.7050099,-79.40857,10232
10233,Plains Rd At Coxwell Ave West Side,43.695934924999996,-79.3291375,419|10233|10233_ar
10234,Yorkland Blvd (North) At Consumers Rd West Side,43.7737199,-79.332525,6006|10234
10235,Midland Ave At Wainfleet Rd,43.7390399,-79.2601299,10235
10236,Oriole Pkwy At Chaplin Cres South Side,43.69732,-79.40309,10236
10237,King St West At Dowling Ave,43.636644950000004,-79.43863995000001,10237|1398
10238,St Clair Ave West At Silverthorn Ave,43.674224949999996,-79.46011245,10238|2398|14671
10239,Markham Rd At 16th Ave,43.8918299,-79.2638899,10239
1024,Progress Ave At Brimley Rd West Side,43.77521,-79.2639199,1024
10240,Rathburn Rd At West Deane Park Dr West Side,43.6564899,-79.55809,10240
10241,Kipling Ave At Princess Margaret Blvd,43.6700449,-79.5477149,3047|10241
10242,Felmington Rd At Ranee Ave South Side,43.72295995,-79.44851,7084|10242
10243,Burnhamthorpe Rd At Shaver Ave North East Side,43.6481699,-79.55133,10243
10246,366 The East Mall,43.64354,-79.55852,10246|3904
10248,Sheppard Ave West At Easton Rd,43.7580899,-79.42619,10248
10249,Vaughan Rd At Wychwood Ave,43.68841995,-79.42555995000001,10249|7562
1025,Glencairn Ave At Haven Rd,43.70614995,-79.45806495,7285|1025
10250,Finch Ave West At Ancona St,43.77457495,-79.43890495,10250|9174
10251,Cummer Ave At Ruddington Dr,43.7930049,-79.39085,5028|10251
10252,Wellesworth Dr At Dixfield Dr (South),43.655246,-79.5727742,10252|6698
10253,Mt Pleasant Rd At Broadway Ave,43.71114495,-79.39117995000001,7122|10253
10254,Dufferin St Opposite Walkway To Unity Cres/Twin Pines Cres,43.79882495,-79.47288499999999,10254|2781
10255,Davenport Rd At Salem Ave,43.67397,-79.43707495,3718|10255
10256,113 Valley Woods Rd,43.7589699,-79.33292499999999,10256|6913|6913_ar
10257,210 The West Mall,43.629884950000005,-79.55935995,10257|5730
10258,Commissioners St At Saulter St,43.649685000000005,-79.3422999,10258|1614
10259,Lawrence Ave West At Little Ave,43.69923489999999,-79.519935,4884|10259
1026,Queens Plate Dr (East) At Harness Rd,43.7200799,-79.5942399,1026|5176
10260,Confederation Pkwy At Ten Oaks Blvd North Side,43.83576,-79.4924699,10260
10261,Eglinton Ave West At Kipling Ave,43.677271162500006,-79.550801225,3617|8096|10261|2596
10262,Sentinel Rd At Finch Ave West,43.760969974999995,-79.499637475,630|10262|6887
10263,St Clair Ave East At Presley Ave,43.71040495,-79.288535,10263|3616
10265,Davenport Rd At Ossington Ave,43.67465995,-79.43062875,1577|10265|1951|2952
10266,The Queensway At Windermere Ave East Side,43.6372,-79.46897,10266
10267,The Queensway At St Lawrence Ave,43.62281,-79.5188399,10267
10268,Park St At Sharpe St,43.7107699,-79.2540899,10268
10269,Eglinton Ave East At Banff Rd,43.7100049,-79.38221,8427|10269
1027,Kipling Ave At Penlea Ave,43.7402899,-79.58043,1027
10270,The Queensway At Milton St,43.627529949999996,-79.49722994999999,3265|10270
10271,Victoria Park Ave At Eglinton Ave East North Side,43.7253699,-79.30276,10271
10272,Queen St East At River St,43.65734995,-79.35655495,1301|10272
10273,Varsity Rd At Van Stassen Blvd,43.6607299,-79.49713,10273
10274,Eglinton Ave West At Lascelles Blvd,43.70567495,-79.40335995000001,10274|8258
10275,7075 Warden Ave At Plaza North Of Steeles,43.82211495,-79.32512495,7153|10275
10276,Oakdale Rd At Finch Ave West (Humber River Hospital),43.7558036625,-79.5241899375,10276|8505|8554|2755
10277,Weston Rd At Northland Ave,43.6787499,-79.4737099,10277
10278,King St West At Jameson Ave,43.63717495,-79.43598495,10278|7460
10279,Birchmount Rd At McNicoll Ave,43.80844,-79.31094,10279
1028,Wilson Ave At Avenue Rd,43.7396999,-79.42197,1028
10280,Don Mills Rd At Graydon Hall Pl,43.76502,-79.3467699,10280
10282,Castleton Ave At Henrietta St,43.6704249,-79.48638995,2864|10282
10283,Coxwell Ave At Lower Gerrard St East,43.67312,-79.31943,10283
10284,Pharmacy Ave At Finch Ave East,43.794428675,-79.3260724125,4329|10284|7225|3071
10286,Mortimer Ave At Pape Ave,43.685741225,-79.3474737,8924|7279|8241|10286
10289,North Rivermede Rd At Bradwick (South),43.81627995,-79.48342495,10289|3030
1029,Varna Dr At Lawrence Ave West North Side,43.717853712499995,-79.4378512125,452|1029|6143|1594
10290,Berry Rd At Park Lawn Rd East Side,43.63621995,-79.49303495,10290|4832
10291,Lawrence Ave East At Yonge St East Side,43.7250599,-79.40183,10291
10292,Stephen Dr At The Queensway,43.63077995,-79.48442994999999,10292|847
10293,2700 Steeles Ave West,43.77887,-79.5065199,10293
10294,Queen St West At Spadina Ave,43.64846995,-79.39652495,9203|10294
10295,Pelmo Cres At Longview Dr West Side,43.710885000000005,-79.51084,5559|10295
10296,Bathurst St At Viewmount Ave South Side,43.71028995,-79.42759495,10296|4324
10297,Royal York Rd At Sinclair St South Side,43.62425,-79.50171,8415|10297
10298,Lawrence Ave West At Avenue Rd,43.722088725000006,-79.41564868750001,9327|1384|3365|10298
10299,Eglinton Ave West At Glenholme Ave,43.69675995,-79.44524995,5268|10299
1030,Kingston Rd At Victoria Park Ave,43.68079495,-79.28403995,2966|1030|999|999_ar
10300,Opposite 1710 Midland Ave,43.7602299,-79.26834489999999,6190|10300
10301,Steeles Ave East At Kennedy Rd,43.823687425,-79.30695,10301|2577|9349
10302,Islington Ave At Advance Rd,43.63622495,-79.51991995,6469|10302
10303,North Queen St At The East Mall,43.62057995,-79.54890495000001,10303|6064
10305,Gerrard St East At Alton Ave,43.67035,-79.3305699,10305|1123
10306,Evans Ave At Browns Line,43.6104499,-79.54948,10306_IB|10306
10307,Stong Crt At Driftwood Ave West Side,43.7620699,-79.517125,8502|10307
10308,1030 Martin Grove Rd,43.69519495,-79.57250495,10308|4287
10309,Lundy Ave At Warren Cres North Side,43.662669949999994,-79.50267495,8773|10309
