from,to,routes,straight-distance,road-distance
9234,7920,7,0.2918229562797598,0
9249,8565,15,0.1652400927241526,0
9276,2541,9,0.1480313491292708,0
9289,14277,9,0.5086813346246906,0
9298,9196,12,0.2990071949990244,0
9330,4578,9,0.2263518089360928,0
9359,5052,9,0.34588692762797424,0
9364,2329,8,0.39207086132028474,0
9386,14189,5,0.10171213363244637,0
9392,7147,10,0.21204806663268377,0
9393,3024,9,0.260676123906384,0
9399,2045,5,0.20036363766298954,0
9415,4483,11,0.17860144045925283,0
9430,5981,5,0.17817948240739473,0
9445,7720,12,0.29530452208179064,0
9451,3024,12,0.09724429946260141,0
9456,1190,12,0.25557015093159957,0
9464,7806,7,0.2283879071545831,0
9470,6026,9,0.26377194175491653,0
9472,5336,12,0.1093449358551817,0
9476,8827,14,0.41386870468106074,0
9489,8205,5,0.29137371976530196,0
9536,317,12,0.2135827431721139,0
9543,9415,11,0.24943676224089345,0
9544,8983,15,0.30312591139083234,0
9546,2139,14,0.1513259921033098,0
9550,1262,7,0.4029304736989584,0
9555,5518,8,0.15278666643788277,0
9595,6585,9,0.28107667803393194,0
9624,2604,11,0.31613135613726395,0
9653,1937,5,0.24515118100397934,0
9655,6292,11,0.12838655360961862,0
9666,495,5,0.1842451375487815,0
9678,3467,15,0.15503293985502378,0
9685,9841,9,0.20590740411793407,0
9693,14170,11,0.12456983102360202,0
9701,7483,14,0.2507254509874818,0
9704,6448,14,0.25490096108502674,0
9706,5366,11,0.23962823529382787,0
9721,4496,7,0.18961161274642108,0
9729,14141,7,0.2640418787874763,0
9738,7285,14,0.24598890798758974,0
9758,8893,7,0.2542630772241189,0
9765,837,7,0.24660504688372484,0
9775,9624,11,0.07044740693013514,0
9791,359,15,0.274042989910704,0
9795,10296,7,0.257069644307702,0
9823,4960,9,0.22592175006292037,0
9828,2166,7,0.17663850150358099,0
9841,8377,9,0.33625376758274966,0
9926,10224,9,0.21274439372022502,0
9937,5563,15,0.1676720571002075,0
9949,14232,12,0.14073039776051535,0
9987,5945,12,0.7650877967348283,0
9987,14780,12,0.7393243600078201,0
10040,5979,14,0.274396064170599,0
10058,5413,14,0.1880705836478424,0
10065,6034,7,0.313792237827458,0
10066,4819,12,0.21808015263159505,0
10085,1468,12,0.14045577765171238,0
10125,3542,5,0.4044224794408225,0
10165,7405,9,0.35320497519270605,0
10168,5861,11,0.23495324044366214,0
10214,4639,10,0.25051563987441816,0
10223,3223,7,0.14565677619631134,0
10224,2232,9,0.30146494674724916,0
10233,9555,8,0.19041196220795686,0
10236,9399,5,0.1990812323186337,0
10274,9489,5,0.23319430689499152,0
10296,4289,14|7,0.23977807982737692,0
10297,3188,15,0.29786287775793374,0
10306,5949,15,0.3057179220630221,0
10314,14959,6,0.14429837557379543,0
10324,3642,8,0.16942136702766922,0
10326,7730,5,0.17921072780767272,0
10330,6712,12,0.1723835117681651,0
10330,10066,12,0.19858166930562926,0
10375,7942,11,0.14707914030484975,0
10380,7151,8,0.3269792478930514,0
12887,7882,15,0.3805352117433448,0
12890,394,11,0.09947682797688724,0
12890,8400,11,0.34582029987368706,0
12894,6579,15,0.24525005359042776,0
14141,3195,7,0.24014462405925685,0
14155,3807,10,0.18591673837825012,0
14160,6070,8,0.28406040668609783,0
14168,2004,14,0.07658275469251441,0
14170,1149,11,0.09605803302079201,0
14189,4420,5,0.14752614671581116,0
14232,311,12,0.3696596405243616,0
14277,9276,9,0.4355192312668003,0
14305,14731,12,0.11884152614359093,0
14307,10165,9,0.11078084481791631,0
14569,5092,6,0.11624109210580537,0
14731,8504,12,0.202912377051536,0
14778,6965,12,0.16929929956556508,0
14779,2802,12,0.7596865841957614,0
14780,14778,12,0.5102032085222845,0
14806,7536,6,0.5210037772715931,0
14894,15154,6,0.424123945388534,0
14897,14935,6,0.21231656247874775,0
14935,4166,6,0.13255354015524448,0
14936,14569,6,0.3160832718689528,0
14954,1218,11,0.21564760321268933,0
14959,6311,6,0.12098142754124137,0
15024,3326,7,0.31223863653380013,0
15031,4720,12,0.3651906073265734,0
15032,7020,12,0.3043856511728571,0
15154,14897,6,0.06024724676669035,0
15211,5465,12,0.2036934451315385,0
15280,14806,6,0.29634665758292866,0
15282,4530,7,0.3058640202182075,0
15394,5543,11,0.3089546387859588,0
